address,tokens,ip_address
Mysten-1,209935764551992661,45.63.91.154
Mysten-2,202274176449270513,136.244.64.220
Galaxy Digital,158174373238851573,52.215.11.218
Aftermath,151359047591569853,141.95.98.112
Luganodes,148571905185251461,51.38.26.34
DSRV,144339783236050006,141.95.171.152
Suilend,136683718098441930,83.143.83.226
Coinbase,135588877021809682,34.248.30.241
Overclock,130474744557735776,84.17.53.103
Blockscope.net,125681636706906064,15.235.82.231
Figment,125470800439709093,35.215.30.249
BartestneT,122279766541217964,45.250.253.76
Chainode Tech,119161963222266419,103.50.32.114
Chorus One,119054779024369097,79.127.215.161
RepublicCrypto,116719597569059449,57.128.47.72
Durian,115414648263756447,52.77.252.248
Persimmon,115413239379501263,57.183.16.181
n1stake,112485448064540770,173.231.17.194
Staketab,110132673642071782,103.50.32.107
BlockVision,108260187069695032,15.235.226.91
Triton One,104581150324467628,202.8.8.8
mrgn,103771366964104917,141.98.216.164
Everstake,96189167061948189,185.209.178.169
Blockdaemon,95845265590039051,208.91.107.169
ContributionDAO,89229676873706536,141.95.99.142
P2P.ORG,89220770454569809,188.42.140.228
Moonlet,86624066878208897,103.219.171.14
Ahoy Validator,85906379091276549,103.50.32.109
Nodeinfra,85849969607136560,64.130.52.116
Cosmostation,85592002966497254,172.255.251.44
Staking Defense League,85467040311322583,188.214.129.144
KiligLab,83234681712005298,115.165.180.246
OKXEarn,83121363531166808,43.207.255.138
Alchemy,82408262741629856,141.95.34.55
Coinage x DAIC,80053761580883363,37.252.184.226
Artifact,80025986124363103,206.125.33.6
Stardust Staking,78699711657626674,46.229.233.174
TPT,77758805420085810,84.32.32.80
P-OPS Team,76281099248264269,185.8.104.19
TrustedPoint,75718933471550122,45.250.253.74
ChainIDE,75250310968113119,47.236.75.72
Kiln,74065272504171526,162.19.43.6
LumiWave,73975869948165185,119.8.96.173
01node,70358221900135434,195.14.6.175
Kraken,67613363361789700,54.195.211.175
HEEBOO,66410679719748780,103.106.59.195
Swyke,65271851194649060,103.219.171.17
StakingCabin,65130746947312350,141.95.65.179
Ankr,64588367349707812,107.6.94.244
Chainflow,64094242028955090,185.8.104.18
Laine,63597830878398372,103.50.32.184
Staking Facilities,62851687864300760,5.199.170.77
Stakin,61839635220668468,93.115.25.75
HashedPotatoes,60577134513249498,69.67.149.35
ORBR,57564730152629547,78.141.245.48
Citadel.one,57515965871047280,141.94.137.186
Anchorage Digital-2,54203376760572585,80.93.18.164
Studio Mirai,51248516115051113,216.158.73.194
Haedal Protocol,48820163738732524,44.212.98.74
AlphaFi,48628431921230459,186.233.187.109
Scale3Labs,45819291086149781,45.250.254.151
Shinlabs,45488173306520134,162.62.234.61
Allnodes,44305116823964118,169.155.45.15
Cetus,44050538963850804,52.207.86.24
NAVI Protocol,42426911148977102,34.233.189.52
Nelrann,40785766250943579,185.209.178.171
Nansen,39471954109386692,79.137.101.209
Imperator.co,39165497071418081,57.128.97.53
H2O Nodes,38464737534907953,185.219.100.82
Nodes.Guru,38111316107781842,141.95.99.90
Astro-Stakers,38038137889347009,45.32.177.0
proofgroup,37700749824621534,207.53.234.207
B-Harvest,37522164728056012,198.13.34.226
SynergyNodes,37494170229248961,103.241.50.19
SyncNode,37436344442523960,103.50.32.122
Brightlystake,35606995407939282,139.84.155.177
Obelisk,35183037144521254,45.250.253.97
Interest Labs,35175666673758828,185.219.100.83
Suiet,34555470902296356,15.235.214.130
Kriya Validator,33889419454294767,139.84.148.36
Chainbase Staking,33700326666476686,5.199.164.101
Ika,33249506205233299,34.140.184.162
Anchorage Digital-1,32638468642340057,46.165.244.19
Sentio,32380762671782965,64.38.144.157
Karrier One,32143575773134146,199.47.51.36
Cogent Crypto,31826326489393198,45.250.254.99
Stakely,31039899937053762,15.235.53.140
Surf,30815976402082466,91.134.34.83
Bucket Protocol,30356758848529016,34.41.77.252
Asymmetric Research,30138904167347887,15.204.107.5
Ledger by P2P.ORG,30011900995350741,23.109.159.12
Hinode Technologies,29917499371740479,13.230.215.202
Omnistake,29792065925994212,18.188.89.184
BLRD,29270925378231375,35.213.126.139
HashKey Cloud,29052516570501009,37.187.82.78
ProStaking,29008202706916746,69.2.39.167
QuantNode,28939028107543496,103.50.32.129
A41,28906187911547209,164.132.247.228
TDMTech,28719798814660337,63.251.232.230
iBriz.ai,28703217412663074,45.32.139.110
XPRV,28265005200459841,54.38.136.66
Latitude.sh,27825118970349830,103.219.168.185
Cypher Capital,27473611890271285,69.2.39.172
Forbole,27458529874364469,5.10.24.66
GiveRep,27058669421256522,193.243.164.197
[NODERS] x Talentum,25941815339981741,149.28.137.164
Swiss Staking,25724064731574275,82.220.39.51
hoh.zone,25510355195596143,37.27.174.82
stakefish,24812395675299259,67.213.112.33
MIDL.dev,24523598137858477,62.210.140.115
Peeranha,23608961143840641,91.242.215.239
Neuler,23482268221507046,103.219.171.15
ZKV,22525759991655707,91.148.167.20
SenseiNode,21633651232991416,69.67.148.48
Encapsulate,20027152620396697,139.84.143.106
BiXinKelePool,17377457269740315,47.251.23.207
Node Guardians,16019207401935641,173.208.48.68
DoubleUp,15968233626214366,168.119.64.213
FP Validated,15009144056189403,141.95.126.9
Scallop,14960947224404125,103.219.170.199
InfStones,13646721680617777,69.67.150.119
