address,tokens
Qubelabs,27066807090430
bitcoinsuisse.com,26700854915031
Finoa Consensus Services,24560600907079
BinanceNode,19569987256640
Chorus One,19419086564819
P2P.org 💙,17458552927036
P-OPS Team,13105546659639
Figment,12932854307748
Anchorage Digital,10999868273175
Cosmostation,10152236399949
Keplr,9038647567656
Upnode,7404688153115
Staking Facilities,7247200417833
Hex Trust,7048679794233
Binary Builders,6939939799160
Coinbase,6916802931069
CUCK.,6812122085520
Everstake,6503257905780
Kiln,6434237499167
IYKYK,6136123628223
DSRV,6052321958626
T DATA,6029042907574
01node,5989536242833
ContributionDAO,5816460387994
Cumulo,5758978563190
Tane,5500387990515
TTT VN,5500362290463
KYVE Public Good Funding,5500121947410
node101,5500120840521
Nansen,5487740583171
senggigi,5122918542873
GalaxyDigital,5116778717361
Goose,5000425041970
Nocturnal Labs,4952728852307
XPRV,4203828647608
Informal Systems,3999724813468
NodeStake,3930489262418
Validatus,3812953743833
Stakely.io,3784630450149
Kraken,3755483464758
Stakecito,3728693583183
Stakin,3645122868888
Easy 2 Stake,3559493538136
Nodes.Guru,3449848250087
Enigma,3419986791873
B-Harvest,3397764416106
 kjnodes.com 🦄,3355926579600
Alchemy,3331882284030
ZKV,3294182027791
wavefive,3131164154807
Stake🦑Squid,3123106263518
Smart Stake 📈📊,3048206364704
itrocket,3041226475229
STAKEME,3036739361060
alphab.ai,3034171376957
CroutonDigital,3032013043331
StakeTown,3012968277100
Kairos Research X Firstset,3012061908002
LuckyResearch Labs,3010272809592
deNodes,3004204402710
F5 Nodes,3001081955866
CosmoWiz,3000908986056
mammoth.guru,3000481852740
Cosmic Validator,3000421795632
CHAIN DIGITAL,3000220695917
bitszn,3000204987746
StakeUs,3000126887414
ECAD Infra,3000125972846
21state,3000112201100
Neoprom,3000058084290
quantumcore,3000054800000
Endorphine Stake,3000007197760
ChainTrails Team | 🛠️,3000001020000
DTEAM,3000001000000
POSTHUMAN 🧬 StakeDrop,2515975978426
VALIDEXIS,2500116820565
Imperator.co,2384872856924
AI,2325782308701
Swiss Staking,2217784563785
Blockdaemon,2087571159198
Go,1924794230059
polkachu.com,1820552426250
Colossus,1645301745824
PRYZM | StakeDrop,1396127509868
Allnodes,1392720981695
LatamNodes,1305006175789
BlackBlocks,1284065876756
ValiDAO,1214965991399
project blanc,1182775741858
Larry Engineer,1180414106163
strangelove,1146241723562
w3.labs,1101357278702
NakoTurk,1033803757596
ttechvalidator,1000294300149
iqlusion,951976966971
 Lavender.Five Nodes 🐝,773648922362
Twinstake,687938800785
StakeLab.zone,444784399502
FreshSTAKING,405042824847
Node Guardians,362076190370
✅ CryptoCrew Validators,343375120785
