address,tokens
Twinstake,297572655
Upbit Staking,279373008
Coinbase,263693717
Luganodes,262308319
Binance Node,227385669
Matic Power,207785914
Figment,178799950
Anonymous 93,167055145
Web3Nodes Validator 🌎 0% fee,166522573
Anonymous 94,133269069
Kiln x Ownest 🔸 Pro Staking 🔸,123395453
Everstake 0% fee,111618026
Kraken,104830414
Anonymous 91,99690755
P2P.org 0% Fee,95670593
Girnaar Nodes,88626454
Stakin,79903008
Vault Staking,76755416
Allnodes ⚡️ 0% fee,66318911
Staking4all - 0% fee,44091306
StakePool,40142229
Blockdaemon,37104321
Anonymous 92,31063318
Matrix Stake,23771919
TruFin,18113425
Abyss Finance 🔥 0% fee,15092897
SelfLiquidity,9735186
LinkPool,8221759
The Abyss (0% commission),8202216
🐠 stake.fish,7990641
Supermoon,7871185
Blue Ocean,7302303
Meria,6325957
HashKey Cloud,6164340
Nobi,5986048
Prometheus Pool,5609489
Valis Labs,4854721
CheckBit 0% fee,4553906
Making.cash,4496805
Fahrenheit ❄️ 0%,4402756
stakeFi Network,4073099
algo | stake,3946441
Smart Stake 📈📊,3610515
Blocks United,2807138
Infosys,2784093
DeFiMatic,2600687
Coinstash,2543161
Tessellated,2531476
Vader 73,2513169
Newroad Network,2503936
Rasputin,2491600
Streamr,2485595
Blocksize,2396174
Data Nexus,2320673
Chorus One,2256518
PolygonGo,2195294
Matic Friends,2165479
Stake.Works,2163217
vido.info,2009502
bountyblok,1990159
Vitwit,1989942
VC Capital,1876669
EMC2 Node,1823748
Cryptech-Hacken,1680850
NodeOps,1586131
Sakura Foundation,1558133
BCW Technologies,1557576
AnkrValidator,1463754
Diversified Validator Network,1276304
PathrockNetwork,1200229
Validatrium,1149640
Atlas Staking,1143741
Perfect Stake 🥩,1085981
Deepheat,1058389
Smartpay Validator,1013006
Gonedator,1000658
Fierydev-MCLB,920370
Hexagon City,750962
StakeCraft 🔥 0% Fee,679433
Shard Labs,549380
Web3Auth Validator,469564
FreshSTAKING,342623
Pentagon Games,337050
Mantra Chain,305255
Simply Staking,287371
Stake Capital,264632
Cryptonomicon,237029
Wetez,230448
RockX,225344
Blockops,222490
Orion by Atlas Staking,216875
SolidStake,207686
Mind Heart Soul,206393
SenseiNode,188089
Northstake,186531
Republic Crypto / Source,172908
kytzu,155293
DSRV,147133
Zero Hash,107912
Forbole,101604
Sentinel Stake,67012
Google Cloud,59761
Pier Two,32226
Stakeway Validator,28137
