address,tokens
Mysten-1,210308755271208507
Mysten-2,201579706051218728
Galaxy Digital,162623580641909137
Aftermath,151366536817567156
Luganodes,148662685133607137
DSRV,144364807625601648
Suilend,137672900470414371
Coinbase,136616821204241449
Overclock,130496821373448705
Blockscope.net,125703356132777933
Figment,124169394340803438
BartestneT,122301028081610304
Chainode Tech,119181177992530645
Chorus One,118913007060059863
RepublicCrypto,116739803660450338
Durian,115434637022637057
Persimmon,115433228138381873
n1stake,112504879148923706
Staketab,110152757682884506
BlockVision,108278878682969398
Triton One,104597859784562612
mrgn,103787440706899540
Everstake,96203790083285076
Blockdaemon,95718239442894685
P2P.ORG,89209570078225488
Moonlet,86638994063465413
Ahoy Validator,85920489828575022
Nodeinfra,85864788348531907
Cosmostation,85600325047572085
Staking Defense League,85481900551383244
ContributionDAO,85020996846828868
KiligLab,83248837516595385
Alchemy,82421936386044558
OKXEarn,82378827929418468
Coinage x DAIC,80052425229640029
Artifact,80013210732471805
Stardust Staking,78713399662952236
TPT,77769621109571323
P-OPS Team,76294396168425912
TrustedPoint,75734109890118350
ChainIDE,75263347164832149
Kiln,74164427722971136
LumiWave,73988774746284995
01node,70370498926526624
Kraken,67736252945987279
HEEBOO,66420851047681528
Swyke,65283191671365875
StakingCabin,65142124016404511
Ankr,65012390297761735
Chainflow,64105359983125374
Laine,63590424237699214
Staking Facilities,62862638255280626
Stakin,61836913192486740
HashedPotatoes,60587418118167536
Citadel.one,57525903955550554
ORBR,57140451802060267
Anchorage Digital-2,54197744214927728
Studio Mirai,51263083058399669
Haedal Protocol,49847307836753244
AlphaFi,47524750824076405
Scale3Labs,45827101816607019
Shinlabs,45309355892452778
Allnodes,44312662613804027
Cetus,44057681653859230
NAVI Protocol,42294103625358431
Nelrann,40792805808482509
Nansen,39473379131405681
Imperator.co,39171116524060856
H2O Nodes,38471299036493993
Nodes.Guru,38117109266668891
Astro-Stakers,38044652941670060
proofgroup,37707180964486267
B-Harvest,37513903533761742
SynergyNodes,37500047371191123
SyncNode,37444925191456357
Obelisk,35189033808289732
Interest Labs,35181663337527306
Suiet,34563247481282885
Kriya Validator,33894346763132673
Chainbase Staking,33705928876762926
Ika,33250551940410431
Anchorage Digital-1,32644053817313130
Brightlystake,32503652273596958
Sentio,32386231791861441
Karrier One,32149037770843542
Cogent Crypto,31831594246542007
Stakely,31044013062567653
Surf,30821129376971357
Bucket Protocol,30361973341969655
Asymmetric Research,30143988299067220
Ledger by P2P.ORG,30016985127070074
Hinode Technologies,29923354300776531
Omnistake,29796943207374747
BLRD,29244582194481329
HashKey Cloud,29057470340499034
ProStaking,29012760066519803
QuantNode,28943877344575685
A41,28911141681545234
TDMTech,28724752584658362
iBriz.ai,28708171182661099
XPRV,28269821185930432
Latitude.sh,27825627179807173
Cypher Capital,27477976329173055
Forbole,27463222920919882
GiveRep,27063233106090629
[NODERS] x Talentum,25946247663094542
Swiss Staking,25728501802945329
hoh.zone,25514231845222004
stakefish,24816450245684316
MIDL.dev,24527993620773559
Peeranha,23609732399931415
Neuler,23486102013550861
ZKV,22529519601287435
SenseiNode,21636447404298698
Encapsulate,20030542049739045
BiXinKelePool,17380449516525752
Node Guardians,16021738176687335
DoubleUp,15970991246950181
FP Validated,15011620953482605
Scallop,14963425121697327
InfStones,13648518316480899
