address,tokens
Lido,8601020
Unidentified,7692340
Binance,3159328
Coinbase,2435778
ether.fi,2124089
Kiln,1613824
Figment,1487584
Kraken,1248610
Blockdaemon,707776
Everstake,676928
Rocket Pool,627161
OKX,617056
Bitcoin Suisse,451319
Staked.us,437692
Upbit,382816
stakefish,366210
Liquid Collective,362336
StakeWise,305376
Mantle,255296
DARMA Capital,239424
P2P.org,214537
Bitstamp,206144
Renzo,176577
Stader,156419
CoinSpot,137664
Kelp DAO,133792
Diva (Pre-launch),133484
Octant,100352
Consensys,98752
Frax Finance,87424
imToken,72096
Revolut,57824
Gate.io,54816
Bitfinex,52098
Cluster 0x82df,49376
XHash,41376
MyEtherWallet,38947
StakeHound,37504
Puffer Finance,31588
Swell,27968
Bitget,26944
KuCoin,26464
Poloniex,24544
RockX,20960
Mercado Bitcoin,19200
WEX Exchange,16000
Origin Protocol,16000
Redacted Pirex,15849
Cluster 0xc372,11968
CoinEx,11904
HTX,10978
GMO Coin,10080
Stkr (Ankr),10024
Celsius,8992
bitshameddesk.eth,8512
honoraryape.eth,8000
Swell (Pre-launch),7721
was.eth,7690
Vitalik Buterin,6976
cryptostake.com,6592
Bitpie,6208
YieldNest,5440
Paxos,4800
Teku Team,4608
Prysm Team,4608
Nimbus Team,4544
MintDice.com,4128
Sigma Prime Team,4096
amiga500.eth,3200
peleg.eth,3200
pottash.eth,3200
coinspiracy.eth,3200
greedland.eth,3200
epstrom.eth,2368
StaFi,2304
godavego.eth,2144
andermatt.eth,2080
Cluster 0x0f5b,1984
86061611630.eth,1952
michaelward.eth,1920
Hord,1888
daveydoo.eth,1472
47validators.eth,1344
ibeli.eth,1280
SharedStake,1280
katto.eth,1120
dymaxiontechnology.eth,1056
gunfighter.eth,1024
permafrost.eth,1024
Blox Staking,992
freedom55.eth,984
staked.finance,960
ronit.eth,960
wesurvivedthemerge.eth,960
collaboard.eth,928
synergycrypto.eth,896
smidge.eth,864
fsjal.eth,736
scg.eth,704
joycedental.eth,704
igisandros.eth,704
dcposch.eth,704
avastake.eth,672
writter.eth,640
radwanski.eth,640
mirasol.eth,640
binarybangers.eth,640
dsommer.eth,640
lazlokovacs.eth,640
sturmh.eth,608
xp1.eth,608
showaid.eth,576
Node DAO,544
mylogin.eth,544
careerin.eth,512
lindy.eth,512
moodysalem.eth,512
pate.eth,480
jonboy.eth,480
gnothi-seauton.eth,480
okonomi.eth,480
brianahern.eth,480
mystakingwallet.eth,448
Uphold,448
korkus.eth,427
EPotter,416
gamell.eth,416
edrews.eth,416
Bifrost,416
malachite🟢.eth,416
vitriol.eth,384
kalakris.eth,384
neukind.com,384
benmichaelis.eth,384
edmiikk.eth,384
dubbo.eth,384
spacetractor.eth,384
Ebunker,384
njknight.eth,352
jspaceman.eth,341
nbm.eth,322
ollett.eth,320
bienen.eth,320
kain.eth,320
teague.eth,320
tablemountain.eth,320
cboyack.eth,320
jeremie.eth,320
colorcoin.eth,320
ctrl-alt.eth,320
stake.tomx.eth,320
dougcastoldi.eth,320
groo2.eth,320
seamonkey.eth,320
banteg.eth,320
galenj.eth,320
akirodic.eth,320
3f93.eth,320
beermonst.eth,288
gameishard.eth,288
proofofsoy.eth,288
stereum.net,288
afei.eth,288
handmadebags.eth,288
millio.eth,288
lololp.eth,257
sprc-brothers.eth,256
stakesaurus.eth,256
h0lding.eth,256
birge.eth,256
alistake.eth,256
baorui.eth,256
row.eth,256
svensson.eth,252
richguypaul.eth,234
Anpan,232
zenar.eth,224
brooklinen.eth,224
brampriem.eth,224
thebluebook.eth,224
Eigenpie,224
harchy.eth,224
zebrains.eth,224
sjhumphrey.eth,224
0x41414141.eth,218
thecoldwallet.eth,212
lludo.eth,192
cartcollector.eth,192
johnlynn.eth,192
clownworld.eth,192
brigs.eth,192
fengqi.eth,192
verylongaddress.eth,192
jwcrowe.eth,192
roryburcham.eth,192
cryptodubs.eth,192
slais.eth,192
dekeract.eth,192
deepspacechase.eth,192
563412.eth,190
gloopy.eth,160
plantregistry.eth,160
alexphelps.eth,160
sherryw.eth,160
sunbird.eth,160
mwegehaupt.eth,160
redlizard.eth,160
currentoor.eth,160
mcgukin.eth,160
curtisc.eth,160
setnof.eth,160
ghostwheel.eth,160
rgenc.eth,160
datawarehouse.eth,160
greid.eth,160
famcv.eth,160
weibeler.eth,160
b18c.eth,160
varvara.eth,160
thunberg.eth,160
benjamincameronbaldwin.eth,160
tmarshall.eth,160
trier.eth,160
amane.eth,156
vapem.eth,130
inovas.eth,128
twitterhandle.eth,128
prestonvanloon.eth,128
angelovski.eth,128
gregmain.eth,128
grimnir.eth,128
yuut.eth,128
3x3q.eth,128
richtheg.eth,128
akaifox.eth,128
puigsech.eth,128
danhsiu.eth,128
punk6883.eth,128
humbolt.eth,128
mqp.eth,128
davieli.eth,128
wolferfinance.eth,128
j2r5m3.eth,128
kar-ma.eth,128
at1as.eth,128
suremark.eth,128
0dot1.eth,128
porom.eth,128
eth3.eth,128
celes.eth,128
avuja.eth,128
w000t.eth,128
gilad.eth,128
tasslehoff.eth,128
typeyape.eth,128
mazzilli.eth,125
canbolat.eth,102
drt0m.eth,100
7189.eth,99
mccormick.eth,98
Colin Robinson,97
0xethstaker.eth,96
errantventure.eth,96
mrock.eth,96
zlatohlavek.eth,96
xelor.eth,96
mtitus.eth,96
sonofvitalik.eth,96
msaganski.eth,96
hibert.eth,96
deeks.eth,96
gigafart.eth,96
pekoz.eth,96
evilpotatoguy.eth,96
smartin.eth,96
beareatfish.eth,96
bdavey.eth,96
trist.eth,96
satine.eth,96
milli0.eth,96
knirck.eth,96
olympus.eth,96
ee.ecc.eth,96
kimochi.eth,96
defilogic.eth,96
aepryus.eth,96
verdaccio.eth,96
adybaev.eth,96
metamask.chrisgladd.eth,96
leftclickyield.eth,96
daegwonchae.eth,96
